,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2003,6.3,14,20.2,133.7,2.6,4.5
1,Alaska,2003,5.8,3.1,8.9,31.8,-1.7,0.7
2,Arizona,2003,5.6,22.7,28.2,192.8,6.4,5.6
3,Arkansas,2003,3.3,6.2,9.5,78.2,3.9,2.7
4,California,2003,95.2,151.7,246.9,"1,527.30",4.7,35.3
5,Colorado,2003,8.9,22.6,31.6,196.5,0.7,4.5
6,Connecticut,2003,22.5,7.5,30,181.3,1.0,3.5
7,Delaware,2003,4.4,1.7,6.1,47.8,2.0,0.8
8,District of Columbia,2003,0.0,6,6,74.1,2.0,0.6
9,Florida,2003,22.0,76.6,98.6,583.7,4.4,17.0
10,Georgia,2003,8.9,26.1,35,340.4,2.6,8.7
11,Hawaii,2003,5.7,3.1,8.7,48.9,5.1,1.2
12,Idaho,2003,2.6,1.5,4.1,40.3,2.8,1.4
13,Illinois,2003,46.7,49.9,96.6,529.5,1.2,12.6
14,Indiana,2003,11.9,15.6,27.4,223.5,3.8,6.2
15,Iowa,2003,4.3,6.1,10.4,105.1,4.2,2.9
16,Kansas,2003,2.5,10.8,13.3,94.6,1.7,2.7
17,Kentucky,2003,7.1,20.5,27.6,127,2.3,4.1
18,Louisiana,2003,9.8,11.9,21.6,154.4,3.8,4.5
19,Maine,2003,4.4,2.2,6.6,41.8,2.2,1.3
20,Maryland,2003,13.0,13.8,26.7,228.7,2.6,5.5
21,Massachusetts,2003,48.5,21,69.5,315.3,2.5,6.5
22,Michigan,2003,22.5,34.5,57,373.8,2.0,10.1
23,Minnesota,2003,7.2,26.3,33.5,215.2,4.5,5.0
24,Mississippi,2003,4.2,5.8,10,73.3,4.1,2.9
25,Missouri,2003,13.9,12.9,26.7,204,2.0,5.7
26,Montana,2003,2.9,1.2,4.1,25.6,4.0,0.9
27,Nebraska,2003,2.1,6.3,8.4,66.4,5.6,1.7
28,Nevada,2003,3.6,13.2,16.8,90.8,5.0,2.2
29,New Hampshire,2003,5.6,2,7.6,51.4,4.4,1.3
30,New Jersey,2003,33.6,27,60.6,405.2,2.6,8.6
31,New Mexico,2003,4.6,4.2,8.8,62.9,3.8,1.9
32,New York,2003,91.6,115.4,207,905.3,0.3,19.2
33,North Carolina,2003,12.1,23.1,35.2,309.3,2.3,8.4
34,North Dakota,2003,1.6,1.4,3,22.1,6.2,0.6
35,Ohio,2003,21.1,33.5,54.6,424.9,1.5,11.4
36,Oklahoma,2003,6.7,6.2,12.9,105.2,1.5,3.5
37,Oregon,2003,7.5,12.7,20.2,127.2,4.2,3.6
38,Pennsylvania,2003,24.3,66.6,90.9,455.1,2.2,12.4
39,Rhode Island,2003,6.2,1.6,7.8,40.3,3.7,1.1
40,South Carolina,2003,11.0,13.8,24.7,130.3,3.5,4.1
41,South Dakota,2003,2.6,1.2,3.8,27.4,2.1,0.8
42,Tennessee,2003,3.5,19.2,22.7,203.8,3.0,5.9
43,Texas,2003,14.6,111.1,125.8,829.8,0.6,22.1
44,All states combined,2003,697.9,"1,120.80","1,818.70","11,458.20",2.9,290.3
45,Utah,2003,5.1,8.9,14,79.1,2.0,2.4
46,Vermont,2003,2.5,0.8,3.3,21.1,3.5,0.6
47,Virginia,2003,13.5,23.2,36.7,310,3.8,7.4
48,Washington,2003,14.6,33.3,47.9,258.3,1.9,6.1
49,West Virginia,2003,4.3,3.5,7.8,46.7,0.1,1.8
50,Wisconsin,2003,14.8,16.5,31.3,203.1,2.9,5.5
51,Wyoming,2003,1.1,1,2.1,21,2.5,0.5
