,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1986,3.8,5.2,9.0,56.1,2.2,4.0
1,Alaska,1986,7.0,4.9,11.9,19.2,-28.1,0.5
2,Arizona,1986,1.5,12.3,13.8,55.9,8.0,3.3
3,Arkansas,1986,1.1,2.7,3.8,30.8,3.0,2.3
4,California,1986,20.1,45.0,65.1,563.1,5.4,27.2
5,Colorado,1986,2.0,7.6,9.6,61,0.2,3.1
6,Connecticut,1986,7.3,2.5,9.9,75.3,6.6,3.2
7,Delaware,1986,2.6,0.9,3.6,14.1,5.9,0.6
8,District of Columbia,1986,0.0,3.7,3.7,30.1,3.3,0.6
9,Florida,1986,5.7,26.0,31.7,185.9,6.6,11.6
10,Georgia,1986,2.5,10.0,12.4,108.1,7.9,6.1
11,Hawaii,1986,2.8,0.6,3.4,22.4,6.1,1.0
12,Idaho,1986,0.7,0.6,1.2,13.2,-0.7,1.0
13,Illinois,1986,12.0,13.6,25.6,218.7,3.9,11.4
14,Indiana,1986,2.2,5.1,7.3,86.4,3.3,5.5
15,Iowa,1986,1.6,3.0,4.6,43.2,-0.1,2.8
16,Kansas,1986,0.4,5.3,5.7,41.8,0.8,2.4
17,Kentucky,1986,4.1,7.3,11.4,53.2,0.5,3.7
18,Louisiana,1986,10.5,8.2,18.7,77.1,-10.4,4.2
19,Maine,1986,1.6,0.8,2.4,17.4,6.2,1.2
20,Maryland,1986,5.4,8.4,13.8,83.7,6.8,4.5
21,Massachusetts,1986,11.8,5.9,17.8,127.2,6.9,5.9
22,Michigan,1986,7.1,10.7,17.8,163.5,4.3,9.3
23,Minnesota,1986,3.8,12.7,16.4,79.5,2.7,4.3
24,Mississippi,1986,1.2,2.3,3.5,31,0.8,2.6
25,Missouri,1986,3.8,4.0,7.7,83.3,4.8,5.0
26,Montana,1986,1.2,1.2,2.4,11,-1.6,0.8
27,Nebraska,1986,1.3,4.9,6.2,26,-0.7,1.6
28,Nevada,1986,1.2,1.8,3.0,19.7,7.8,1.0
29,New Hampshire,1986,2.4,0.5,2.9,18.4,8.6,1.0
30,New Jersey,1986,16.9,9.9,26.8,158.8,6.7,7.6
31,New Mexico,1986,2.1,2.8,5.0,21.8,-5.1,1.4
32,New York,1986,36.4,34.5,70.9,390.1,5.0,17.8
33,North Carolina,1986,2.6,10.3,12.9,104.8,6.4,6.3
34,North Dakota,1986,0.7,0.7,1.5,9.8,-10.1,0.6
35,Ohio,1986,8.9,9.2,18.0,182.6,2.8,10.8
36,Oklahoma,1986,3.8,4.5,8.3,49,-9.0,3.1
37,Oregon,1986,7.1,3.3,10.4,41.7,3.7,2.8
38,Pennsylvania,1986,7.8,23.5,31.4,187.4,3.9,11.9
39,Rhode Island,1986,3.0,0.6,3.6,16.6,7.0,1.0
40,South Carolina,1986,3.7,4.9,8.6,47.7,6.4,3.3
41,South Dakota,1986,1.3,0.4,1.7,10.1,2.9,0.7
42,Tennessee,1986,2.2,7.6,9.8,73.3,5.0,4.8
43,Texas,1986,5.4,42.3,47.7,295.7,-5.6,15.8
44,All states combined,1986,247.7,411.2,658.9,"4,579.60",3.5,239.6
45,Utah,1986,1.3,7.4,8.8,24.3,-1.2,1.6
46,Vermont,1986,1.0,0.4,1.4,8.2,6.4,0.5
47,Virginia,1986,3.8,6.3,10.2,107.3,7.4,5.8
48,Washington,1986,3.6,15.4,19.0,84,6.5,4.6
49,West Virginia,1986,2.1,2.9,5.0,22.9,-2.2,1.9
50,Wisconsin,1986,4.7,4.8,9.5,77.8,3.3,4.8
51,Wyoming,1986,0.8,1.5,2.3,10.5,-15.5,0.5
