,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2004,6.4,15.3,21.6,146.5,6.4,4.5
1,Alaska,2004,5.7,2.9,8.6,35,3.8,0.7
2,Arizona,2004,6.8,23.1,29.8,205.4,4.2,5.8
3,Arkansas,2004,3.7,6.7,10.4,84.6,4.8,2.7
4,California,2004,105.5,164.9,270.4,"1,632.20",4.2,35.6
5,Colorado,2004,10.0,24,33.9,204,0.9,4.6
6,Connecticut,2004,22.9,7.9,30.9,198.7,6.7,3.5
7,Delaware,2004,4.2,1.9,6.1,51.4,4.7,0.8
8,District of Columbia,2004,0.0,6.5,6.5,80.5,5.1,0.6
9,Florida,2004,26.8,83.1,109.9,635.5,5.8,17.4
10,Georgia,2004,8.7,26.2,34.8,364.3,4.6,8.9
11,Hawaii,2004,5.7,3.4,9.1,53.8,6.7,1.3
12,Idaho,2004,2.4,1.6,4,43.7,5.6,1.4
13,Illinois,2004,48.7,53.6,102.3,558.7,2.7,12.6
14,Indiana,2004,14.7,16.5,31.2,236.9,3.4,6.2
15,Iowa,2004,4.9,6.5,11.3,116.7,8.1,2.9
16,Kansas,2004,4.6,11.5,16.1,97.7,0.3,2.7
17,Kentucky,2004,8.1,21,29.1,134.2,2.7,4.1
18,Louisiana,2004,10.2,12,22.2,169.9,4.7,4.5
19,Maine,2004,4.6,2.3,6.9,44.5,3.5,1.3
20,Maryland,2004,15.2,14.2,29.4,246.8,5.1,5.5
21,Massachusetts,2004,57.2,21.9,79.1,330.7,2.6,6.5
22,Michigan,2004,25.0,36.6,61.7,381.2,0.1,10.1
23,Minnesota,2004,6.7,27,33.7,230.3,4.1,5.1
24,Mississippi,2004,4.4,5.9,10.3,77.2,2.1,2.9
25,Missouri,2004,16.2,14.2,30.4,214.2,2.2,5.8
26,Montana,2004,3.0,1.2,4.3,27.9,4.5,0.9
27,Nebraska,2004,1.9,6.9,8.8,70.3,2.3,1.7
28,Nevada,2004,3.8,14.2,18.1,104.4,11.5,2.3
29,New Hampshire,2004,6.5,2.2,8.8,54.1,3.1,1.3
30,New Jersey,2004,40.6,28.5,69.1,422.9,1.6,8.6
31,New Mexico,2004,5.4,4.3,9.7,69.7,7.4,1.9
32,New York,2004,97.9,123.5,221.4,955.2,2.5,19.3
33,North Carolina,2004,14.1,23.9,38,328,3.8,8.5
34,North Dakota,2004,1.7,1.5,3.1,23.2,1.0,0.6
35,Ohio,2004,21.8,35.7,57.6,445.5,2.2,11.5
36,Oklahoma,2004,7.0,6.3,13.3,113.1,3.3,3.5
37,Oregon,2004,10.5,14.3,24.8,136.2,5.0,3.6
38,Pennsylvania,2004,26.0,70.4,96.4,481.7,2.8,12.4
39,Rhode Island,2004,6.5,1.7,8.2,43.2,4.5,1.1
40,South Carolina,2004,11.9,14.8,26.7,135.2,1.3,4.2
41,South Dakota,2004,2.6,1.2,3.8,29.6,4.2,0.8
42,Tennessee,2004,3.6,20.9,24.4,218,4.6,5.9
43,Texas,2004,23.3,123.5,146.8,906.3,5.2,22.4
44,All states combined,2004,779.5,"1,197.00","1,976.60","12,213.70",3.8,293.0
45,Utah,2004,5.0,9.3,14.3,85.7,5.2,2.4
46,Vermont,2004,2.5,0.8,3.3,22.7,5.0,0.6
47,Virginia,2004,15.4,24.7,40.1,332.3,4.6,7.5
48,Washington,2004,15.8,34.6,50.4,270.1,1.8,6.2
49,West Virginia,2004,4.6,3.5,8.1,49.3,1.4,1.8
50,Wisconsin,2004,17.7,17.6,35.3,215.1,3.3,5.5
51,Wyoming,2004,0.9,0.9,1.8,23.2,3.0,0.5
