,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2007,7.1,17.3,24.4,169.7,0.6,4.6
1,Alaska,2007,6.6,3.4,9.9,49,5.4,0.7
2,Arizona,2007,9.5,29.6,39.1,262.3,2.7,6.4
3,Arkansas,2007,4.5,7.6,12.1,96.9,-0.7,2.8
4,California,2007,114.7,215.8,330.5,"1,955.90",1.5,36.2
5,Colorado,2007,14.9,31.4,46.3,246,3.3,4.8
6,Connecticut,2007,23.8,8.7,32.5,237.5,3.8,3.5
7,Delaware,2007,5.4,2,7.4,56.3,-0.4,0.9
8,District of Columbia,2007,0.0,8.9,8.9,94,2.7,0.6
9,Florida,2007,37.4,97.4,134.9,768.7,0.2,18.3
10,Georgia,2007,10.4,36.2,46.5,415.1,0.5,9.5
11,Hawaii,2007,6.2,4.2,10.4,65.2,1.1,1.3
12,Idaho,2007,2.8,2.3,5.1,53.9,1.9,1.5
13,Illinois,2007,54.5,62.2,116.7,647.9,1.2,12.8
14,Indiana,2007,19.2,22.1,41.2,269.1,2.8,6.3
15,Iowa,2007,6.7,8.1,14.9,137,4.4,3.0
16,Kansas,2007,5.9,15.3,21.2,122.5,5.3,2.8
17,Kentucky,2007,11.6,26.3,38,154.5,-0.8,4.3
18,Louisiana,2007,14.0,13.7,27.7,206.6,-3.6,4.4
19,Maine,2007,5.3,2.7,8,49.1,-0.5,1.3
20,Maryland,2007,20.9,14,34.9,287.9,0.1,5.6
21,Massachusetts,2007,68.4,20.8,89.3,379.9,2.6,6.5
22,Michigan,2007,29.3,44.1,73.4,403.7,-0.5,10.1
23,Minnesota,2007,8.9,29.8,38.7,258.8,0.4,5.2
24,Mississippi,2007,5.9,6.6,12.5,91.1,2.5,2.9
25,Missouri,2007,18.7,20.2,38.9,240.2,0.4,5.9
26,Montana,2007,4.5,1.7,6.2,36.1,5.1,1.0
27,Nebraska,2007,2.3,9.3,11.6,83.1,2.2,1.8
28,Nevada,2007,4.1,17.9,22.1,131.6,-0.6,2.6
29,New Hampshire,2007,7.7,2.6,10.3,60.7,-0.4,1.3
30,New Jersey,2007,51.4,34.3,85.7,480.5,0.5,8.6
31,New Mexico,2007,7.3,4.9,12.2,80.6,0.7,2.0
32,New York,2007,110.1,153.2,263.3,"1,108.90",0.2,19.4
33,North Carolina,2007,19.2,30.9,50.1,396.3,0.9,9.1
34,North Dakota,2007,1.8,1.9,3.7,28.7,4.6,0.6
35,Ohio,2007,26.1,40.9,67,491,0.0,11.5
36,Oklahoma,2007,8.7,7.9,16.6,144.9,1.8,3.6
37,Oregon,2007,11.2,18.4,29.7,161.5,1.9,3.7
38,Pennsylvania,2007,37.1,74.1,111.2,560.8,3.4,12.5
39,Rhode Island,2007,8.4,2.1,10.5,47.8,-2.7,1.1
40,South Carolina,2007,15.0,18.9,33.9,159.4,2.8,4.4
41,South Dakota,2007,3.2,1.6,4.8,34.7,4.4,0.8
42,Tennessee,2007,4.1,30.8,35,244.3,-1.0,6.2
43,Texas,2007,24.3,162.4,186.7,"1,178.60",5.3,23.8
44,All states combined,2007,937.1,"1,471.50","2,408.60","14,451.90",1.9,301.6
45,Utah,2007,5.9,10,15.9,114.7,4.9,2.7
46,Vermont,2007,3.1,1.1,4.2,24.7,-1.2,0.6
47,Virginia,2007,19.4,31,50.4,392.9,0.8,7.7
48,Washington,2007,21.1,40.3,61.4,346.4,6.0,6.5
49,West Virginia,2007,5.6,3.4,9,58.6,0.1,1.8
50,Wisconsin,2007,21.5,20,41.5,243.8,0.5,5.6
51,Wyoming,2007,1.2,1,2.2,36.6,7.5,0.5
