,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1987,3.3,5.1,8.4,60.8,5.6,4.0
1,Alaska,1987,6.2,5.0,11.2,22.9,16.6,0.5
2,Arizona,1987,1.9,13.1,15.1,60,4.9,3.4
3,Arkansas,1987,1.4,2.8,4.3,32.7,3.5,2.3
4,California,1987,22.4,54.4,76.8,615.4,6.6,27.8
5,Colorado,1987,2.3,9.3,11.6,63.9,2.3,3.2
6,Connecticut,1987,8.0,2.8,10.8,83,7.5,3.2
7,Delaware,1987,2.8,1.0,3.8,15.6,7.5,0.6
8,District of Columbia,1987,0.0,3.7,3.7,32.1,4.2,0.6
9,Florida,1987,7.8,33.1,40.9,204.8,7.5,11.9
10,Georgia,1987,2.6,12.2,14.8,117,5.7,6.2
11,Hawaii,1987,2.9,0.6,3.5,24.3,5.6,1.1
12,Idaho,1987,0.6,0.6,1.2,14,3.3,1.0
13,Illinois,1987,12.7,14.3,27.0,231.2,3.2,11.4
14,Indiana,1987,2.7,5.3,8.0,91.7,3.5,5.5
15,Iowa,1987,1.8,3.1,4.9,45.3,2.2,2.8
16,Kansas,1987,0.4,6.4,6.8,44.2,3.1,2.4
17,Kentucky,1987,4.7,7.8,12.5,56.3,3.2,3.7
18,Louisiana,1987,10.2,8.1,18.4,78.5,-0.7,4.2
19,Maine,1987,1.6,1.0,2.6,19.2,7.6,1.2
20,Maryland,1987,5.3,8.5,13.9,91.4,6.5,4.6
21,Massachusetts,1987,12.8,6.5,19.3,138.9,6.6,5.9
22,Michigan,1987,7.7,10.8,18.5,169.2,1.0,9.3
23,Minnesota,1987,3.6,13.8,17.4,85.4,4.9,4.3
24,Mississippi,1987,1.3,4.1,5.5,33.5,5.6,2.6
25,Missouri,1987,4.3,4.5,8.8,88.9,4.1,5.1
26,Montana,1987,1.1,1.1,2.2,11.4,1.2,0.8
27,Nebraska,1987,1.5,4.7,6.2,26.8,0.3,1.6
28,Nevada,1987,1.3,2.1,3.4,22,8.6,1.1
29,New Hampshire,1987,2.4,0.7,3.1,21,11.5,1.0
30,New Jersey,1987,17.5,11.9,29.4,174.6,7.3,7.6
31,New Mexico,1987,1.8,3.5,5.3,22.4,0.4,1.4
32,New York,1987,40.6,36.9,77.5,418.3,4.6,17.9
33,North Carolina,1987,2.7,11.0,13.8,113.3,5.5,6.4
34,North Dakota,1987,0.8,0.8,1.6,10.3,2.9,0.6
35,Ohio,1987,9.4,9.8,19.3,191.8,2.5,10.8
36,Oklahoma,1987,4.1,4.2,8.3,49.1,-2.3,3.1
37,Oregon,1987,7.1,3.7,10.9,44.6,4.3,2.8
38,Pennsylvania,1987,8.8,27.9,36.7,202.9,5.7,11.9
39,Rhode Island,1987,2.8,0.6,3.4,17.9,5.0,1.0
40,South Carolina,1987,3.7,5.2,9.0,52.7,7.7,3.4
41,South Dakota,1987,1.5,0.4,2.0,10.7,3.4,0.7
42,Tennessee,1987,2.3,8.8,11.1,80.7,7.5,4.8
43,Texas,1987,6.5,49.2,55.7,300.7,-0.8,16.1
44,All states combined,1987,265.7,453.0,718.7,"4,855.20",3.5,241.8
45,Utah,1987,1.4,7.9,9.3,25.1,0.9,1.6
46,Vermont,1987,1.0,0.4,1.3,9.2,9.4,0.5
47,Virginia,1987,4.2,6.9,11.1,117.6,6.9,5.9
48,Washington,1987,3.8,16.1,20.0,90.3,4.9,4.6
49,West Virginia,1987,2.2,3.0,5.2,23.4,-0.1,1.8
50,Wisconsin,1987,4.8,5.1,9.9,82,2.8,4.8
51,Wyoming,1987,0.8,1.4,2.2,10.4,-3.8,0.5
