,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2006,6.4,15.9,22.3,163.9,1.9,4.6
1,Alaska,2006,6.3,3.2,9.4,44.4,7.7,0.7
2,Arizona,2006,8.4,26,34.4,248.2,5.4,6.2
3,Arkansas,2006,4.5,7.3,11.8,94.4,2.2,2.8
4,California,2006,109.4,191.3,300.7,"1,874.70",4.1,36.0
5,Colorado,2006,13.0,26.7,39.7,231.2,2.1,4.8
6,Connecticut,2006,24.0,8.2,32.2,222.9,3.8,3.5
7,Delaware,2006,4.2,1.9,6.1,55.1,2.5,0.9
8,District of Columbia,2006,0.0,8,8,88.5,0.3,0.6
9,Florida,2006,29.3,90.5,119.8,744.5,3.5,18.1
10,Georgia,2006,10.5,31.6,42.1,402.1,1.1,9.3
11,Hawaii,2006,5.8,3.7,9.5,62.4,2.7,1.3
12,Idaho,2006,2.5,2,4.4,51,4.0,1.5
13,Illinois,2006,53.6,57.1,110.8,621.9,2.7,12.7
14,Indiana,2006,17.3,17,34.3,255.1,2.0,6.3
15,Iowa,2006,6.6,7.2,13.8,126.9,1.4,3.0
16,Kansas,2006,5.7,14.2,19.9,112.7,5.4,2.8
17,Kentucky,2006,9.8,22.7,32.4,151,2.7,4.2
18,Louisiana,2006,11.7,13,24.7,205.8,-0.9,4.2
19,Maine,2006,5.0,2.5,7.5,47.9,1.2,1.3
20,Maryland,2006,16.4,14.3,30.7,279.5,1.9,5.6
21,Massachusetts,2006,63.8,21.6,85.4,361.3,1.8,6.5
22,Michigan,2006,27.3,41.8,69.1,395.5,-1.7,10.1
23,Minnesota,2006,7.4,29.2,36.6,249.7,0.0,5.1
24,Mississippi,2006,4.9,6.3,11.2,85.9,2.6,2.9
25,Missouri,2006,17.7,16.3,33.9,231.8,0.7,5.9
26,Montana,2006,4.4,1.4,5.8,32.9,3.7,0.9
27,Nebraska,2006,2.0,7.5,9.5,78.2,2.8,1.8
28,Nevada,2006,4.1,16.5,20.6,127.6,3.9,2.5
29,New Hampshire,2006,7.4,2.5,10,59.4,2.5,1.3
30,New Jersey,2006,50.2,31.5,81.7,464.5,2.1,8.6
31,New Mexico,2006,6.3,4.4,10.7,77.4,2.5,1.9
32,New York,2006,105.3,136.1,241.4,"1,071.40",2.5,19.4
33,North Carolina,2006,17.7,26.2,43.9,383.5,6.2,8.9
34,North Dakota,2006,1.8,1.7,3.5,26.1,4.0,0.6
35,Ohio,2006,24.7,39,63.7,477.2,-0.5,11.5
36,Oklahoma,2006,8.1,7.1,15.2,137.1,6.7,3.6
37,Oregon,2006,11.0,15.9,26.9,155.2,6.0,3.7
38,Pennsylvania,2006,32.1,74.7,106.8,526.4,0.7,12.5
39,Rhode Island,2006,7.0,2,8.9,47.7,2.3,1.1
40,South Carolina,2006,13.7,18.4,32.2,150.7,2.3,4.3
41,South Dakota,2006,3.1,1.4,4.6,31.9,1.5,0.8
42,Tennessee,2006,3.8,24.3,28.2,240.2,2.6,6.1
43,Texas,2006,24.5,143.1,167.6,"1,085.30",6.8,23.4
44,All states combined,2006,870.0,"1,334.00","2,204.00","13,814.60",2.9,298.6
45,Utah,2006,5.9,9.4,15.3,106.1,8.8,2.6
46,Vermont,2006,3.0,0.9,3.9,24.3,0.8,0.6
47,Virginia,2006,17.6,28.8,46.4,379.1,2.1,7.6
48,Washington,2006,18.3,38.3,56.7,317.2,3.9,6.4
49,West Virginia,2006,5.4,3.5,8.9,56.5,1.4,1.8
50,Wisconsin,2006,19.9,19,38.8,235.7,1.6,5.6
51,Wyoming,2006,1.0,1,1.9,32.4,13.3,0.5
