Username,Category,Followers,Followees,Posts,Level
ttlyteala,fashion,2724909,313,1104,Huge
jvn,fashion,2693579,702,1793,Huge
prayalundberg,fashion,2685554,264,1214,Huge
daniellecohn,fashion,2654975,2207,883,Huge
brynnrumfallo,fashion,2636028,1540,1199,Huge
gaurikhan,fashion,2635662,111,857,Huge
chavespauok,fashion,2581308,196,1295,Huge
amandasteele,fashion,2560756,419,2103,Huge
antoni,fashion,2559946,316,392,Huge
alejandraespinoza,fashion,2547390,904,3537,Huge
paola_antonini,fashion,2527294,1159,2893,Huge
jascurtissmith,fashion,2523998,1660,3750,Huge
dulceida,fashion,2522950,767,7355,Huge
vogueitalia,fashion,2477094,31,9221,Huge
tinashenow,fashion,2466054,511,2679,Huge
pau_eche,fashion,2458516,890,6706,Huge
zaira.nara,fashion,2440777,896,3511,Huge
jogiorgiajo,fashion,2425333,503,989,Huge
dalalid,fashion,2391524,1022,3920,Huge
julianolaham,fashion,2380416,356,450,Huge
daniellamonet,fashion,2361747,969,2097,Huge
jourdandunn,fashion,2356107,1656,1178,Huge
whatthechic,fashion,2342021,632,1450,Huge
sakshimalikk,fashion,2319296,214,659,Huge
marisaad,fashion,2318605,2549,7431,Huge
sarahstage,fashion,2307422,706,1059,Huge
instylemagazine,fashion,2302262,1042,9149,Huge
simondesue,fashion,2296054,33,338,Huge
gigigorgeous,fashion,2275910,1172,3589,Huge
larlarlee,fashion,2217256,285,1762,Huge
meredithfoster,fashion,2215634,796,1061,Huge
jadeseba,fashion,2210126,546,6485,Huge
stephaniedurant,fashion,2198553,330,467,Huge
malaysiainthecity,fashion,2197239,582,1608,Huge
untedetiloporfavor,fashion,2174988,1197,1965,Huge
jimchapman,fashion,2168036,179,1587,Huge
pokimanelol,fashion,2165223,675,606,Huge
msbarbieimperial,fashion,2147480,174,321,Huge
jess,fashion,2140137,191,613,Huge
garotasdegrife,fashion,2105330,2,11367,Huge
miraclewatts00,fashion,2102836,1733,1875,Huge
katy,fashion,2099345,401,1265,Huge
ajionaalexus,fashion,2085034,99,605,Huge
tanfrance,fashion,2080534,99,302,Huge
chiarabiasi,fashion,2075955,329,7743,Huge
yasminbrunet1,fashion,2064562,925,2964,Huge
missjuliakelly,fashion,2060623,418,385,Huge
gabrielconte,fashion,2037644,194,667,Huge
maylaraujoc,fashion,2000125,346,608,Huge
cynthiabailey10,fashion,1991733,1655,6080,Huge
cristipedroche,fashion,1981064,989,2024,Huge
ricademarre,fashion,1970911,744,9707,Huge
aruanmarsha,fashion,1952960,847,879,Huge
brunavieira,fashion,1944002,2786,7952,Huge
miastammer,fashion,1936071,714,777,Huge
sophiekasaei_,fashion,1932496,1357,2361,Huge
sonyaesman,fashion,1928634,285,2694,Huge
weworewhat,fashion,1921270,986,11230,Huge
talagolzar,fashion,1908100,46,389,Huge
rafakalimann,fashion,1907447,2009,3203,Huge
valentinavignali,fashion,1904874,207,3696,Huge
megandeangelis,fashion,1898367,1806,1771,Huge
agthpricilla,fashion,1895621,572,465,Huge
irismittenaeremf,fashion,1883452,658,911,Huge
therealtahiry,fashion,1879098,1057,11230,Huge
sharlenesanpedro1,fashion,1866815,577,738,Huge
mensfashions,fashion,1854044,13,17605,Huge
oliviadbuck,fashion,1844952,1414,2249,Huge
porrovecchiocoralie,fashion,1834563,82,328,Huge
iamsarahharris,fashion,1824696,95,712,Huge
julietanaircalvo,fashion,1810497,573,3024,Huge
aminabuddafly,fashion,1793844,684,4435,Huge
camilacanabal,fashion,1793068,966,8189,Huge
gabibrandt,fashion,1782185,302,1803,Huge
manonmarsault,fashion,1775475,152,1126,Huge
clarialonso,fashion,1756237,1007,2502,Huge
thehala,fashion,1748048,156,1443,Huge
imjennim,fashion,1717748,813,2735,Huge
mrmr__4,fashion,1710783,1723,2615,Huge
lovelypepa,fashion,1710191,963,2896,Huge
carolsaraivafitness,fashion,1704992,673,1949,Huge
carodaur,fashion,1698925,3118,3312,Huge
ninaagdal,fashion,1695834,1093,2296,Huge
chaneliman,fashion,1693588,828,1596,Huge
rickeythompson,fashion,1690767,900,1884,Huge
bryanaholly,fashion,1688589,196,639,Huge
niomismart,fashion,1685570,350,2279,Huge
wengie,fashion,1660642,1007,1686,Huge
vanessajsimmons,fashion,1655130,1088,2954,Huge
joeyessex,fashion,1654431,405,2083,Huge
todderic_,fashion,1654428,800,926,Huge
lauriehernandez_,fashion,1650515,2415,1258,Huge
aaliyahjay,fashion,1641681,340,1439,Huge
ogeokoye,fashion,1627572,438,890,Huge
clarissamolinaofficial,fashion,1624037,737,3454,Huge
andymtzurita,fashion,1617551,676,495,Huge
nastilove,fashion,1597697,499,5533,Huge
valliludovica,fashion,1584648,261,2823,Huge
lauraanderson1x,fashion,1575510,886,4013,Huge
shawnjohnson,fashion,1561053,2733,2632,Huge
sampottorff,fashion,1553074,149,1280,Huge
ksfreak,fashion,1549099,151,633,Huge
marinaferrarig,fashion,1541097,594,3225,Huge
valegenta,fashion,1531774,618,1123,Huge
ijustine,fashion,1523612,1057,5466,Huge
emmacakecup,fashion,1513550,258,514,Huge
emilyskinner__,fashion,1502262,1118,512,Huge
ayla_woodruff,fashion,1492855,422,275,Huge
larsapippen,fashion,1485875,320,2488,Huge
itsmarioselman,fashion,1485762,188,462,Huge
binkyfelstead,fashion,1482788,668,2772,Huge
patriziayanguela,fashion,1480223,2369,1801,Huge
boounzueta,fashion,1479486,684,4114,Huge
helenowen,fashion,1475279,319,973,Huge
rocky_barnes,fashion,1473064,2290,6275,Huge
royalty_24kt,fashion,1464011,67,291,Huge
bestofmenstyle,fashion,1461800,13,9649,Huge
xenia,fashion,1423659,96,7749,Huge
charlottemckinney,fashion,1423649,520,613,Huge
rosymcmichael,fashion,1423209,800,1818,Huge
dinatokio,fashion,1419288,1370,3510,Huge
awed__,fashion,1413378,316,804,Huge
kayceericeofficial,fashion,1407796,707,1971,Huge
justtnic,fashion,1400073,1248,4661,Huge
elliethumann,fashion,1399762,383,515,Huge
jesswright77,fashion,1395991,1510,3771,Huge
rademita,fashion,1387080,213,2054,Huge
uaimatheus,fashion,1381973,639,2058,Huge
keilah.k,fashion,1380693,73,451,Huge
shaninamshaik,fashion,1378102,918,3555,Huge
carowozniacki,fashion,1365826,201,983,Huge
devwindsor,fashion,1348400,429,1587,Huge
joannakrupa,fashion,1348072,7499,3085,Huge
milliemackintosh,fashion,1344745,998,4682,Huge
veronicamerrell,fashion,1342745,1274,788,Huge
renataalves_oficial,fashion,1341457,216,2484,Huge
ireneisgood,fashion,1340919,151,4373,Huge
harrods,fashion,1335445,279,6838,Huge
parkermckennaaa,fashion,1329443,366,129,Huge
janicejoostemaa,fashion,1326354,640,2159,Huge
belle_lucia,fashion,1322256,339,1023,Huge
therealsophiagrace,fashion,1314100,859,984,Huge
therealdaytime,fashion,1306902,735,10118,Huge
poppydeyes,fashion,1296390,385,503,Huge
morganstewart,fashion,1275361,515,1979,Huge
dannyperez20,fashion,1273696,392,1164,Huge
luanavjollca,fashion,1270066,403,993,Huge
cocorocha,fashion,1266414,878,3453,Huge
stevie_bear,fashion,1257135,758,2421,Huge
meeeeeeeel_,fashion,1255106,781,1707,Huge
lorena,fashion,1254326,604,721,Huge
ma.pina,fashion,1242217,1232,937,Huge
meghanrienks,fashion,1239550,836,2858,Huge
emmawillisofficial,fashion,1238672,321,600,Huge
samgowland,fashion,1225071,384,679,Huge
corinnakopf,fashion,1223185,145,546,Huge
amanda_stantonn,fashion,1222473,980,969,Huge
ximenacordoba,fashion,1219890,1123,2271,Huge
andreeacristina,fashion,1216098,1063,1842,Huge
jamiejchung,fashion,1215314,1588,2322,Huge
sandyofficial,fashion,1210507,371,927,Huge
micael,fashion,1209854,429,2392,Huge
kazcrossley,fashion,1208313,1175,428,Huge
hijabhills,fashion,1205710,820,595,Huge
jessica_rose_uk,fashion,1198867,4263,1429,Huge
maelovecleo,fashion,1194088,1983,425,Huge
vanessa_incontrada,fashion,1192247,172,1021,Huge
stellahudgens,fashion,1189633,232,256,Huge
karinjinsui,fashion,1189258,736,1663,Huge
georgiakousoulou,fashion,1172491,1636,2519,Huge
beccatilley,fashion,1164702,869,1380,Huge
ariellecharnas,fashion,1164146,836,6835,Huge
dulcecandy,fashion,1162478,369,4580,Huge
hadiaghaleb,fashion,1149948,2210,2820,Huge
blaireadiebee,fashion,1145104,641,3360,Huge
oliviajade,fashion,1143572,501,489,Huge
laurenpopey,fashion,1141719,638,2022,Huge
coveteur,fashion,1137117,4552,8052,Huge
kadymcdermott,fashion,1134484,437,1386,Huge
westbrooks.crystal,fashion,1131955,54,1180,Huge
chrisellelim,fashion,1126941,2017,10389,Huge
chloe_simsstarship,fashion,1125389,742,2317,Huge
franciaraisa,fashion,1124315,1188,437,Huge
rah_ali,fashion,1117113,1200,904,Huge
lufyyyy,fashion,1116128,514,856,Huge
andrehamann,fashion,1114362,495,1412,Huge
fabianakarlareal,fashion,1113036,1259,3149,Huge
cloecouture,fashion,1110120,691,1627,Huge
witneycarson,fashion,1109299,713,1763,Huge
lalanoleto,fashion,1108473,1734,13492,Huge
alexsensation,fashion,1107578,5471,12230,Huge
jessicaerrero_official,fashion,1105537,756,593,Huge
samiramighty,fashion,1105077,1061,565,Huge
joannakuchta,fashion,1104955,1104,799,Huge
anastasiaashley,fashion,1103162,883,2160,Huge
jasmeannnn,fashion,1094030,378,2380,Huge
collagevintage,fashion,1093427,698,6129,Huge
laurenelizabeth,fashion,1083664,894,3249,Huge
rydellynch,fashion,1075058,166,2196,Huge
teresuch,fashion,1072158,1583,3145,Huge
heyitsannabanana,fashion,1071871,649,4038,Huge
alessandra,fashion,1063634,522,945,Huge
hannahmeloche,fashion,1063150,391,283,Huge
claudiasulewski,fashion,1058482,358,1775,Huge
weddingdiary,fashion,1058044,75,2070,Huge
vjanusha,fashion,1043963,222,1878,Huge
kristenmcatee,fashion,1039656,906,465,Huge
tatjanamariposa,fashion,1031336,1089,1192,Huge
cristinamusacchio,fashion,1030726,1516,1321,Huge
farinamusic,fashion,1026949,1064,661,Huge
alexcentomo,fashion,1026684,283,1031,Huge
alemaglietti,fashion,1026506,1603,3163,Huge
thebarbieblank,fashion,1021753,1443,1083,Huge
evachen212,fashion,1020325,1151,9895,Huge
itslaurendotcom,fashion,1017604,483,517,Huge
andi_dorfman,fashion,1016615,143,808,Huge
sbahle_mpisane,fashion,1015670,1598,1247,Huge
caseyhl91,fashion,1014578,338,1947,Huge
shirleylooooo,fashion,1013986,174,770,Huge
saraadrianberlin,fashion,1012813,2079,882,Huge
dawnrichard,fashion,1009683,0,449,Huge
hollywoodreporter,fashion,1005614,1145,11709,Huge
maddumagalhaes,fashion,997732,843,2407,Huge
jeannedamas,fashion,990846,528,2192,Huge
fabio_colloricchio,fashion,989644,230,1428,Huge
brandicyrus,fashion,988904,344,2106,Huge
iamkb,fashion,987568,989,7535,Huge
rachparcell,fashion,975917,752,4556,Huge
galagonzalez,fashion,972211,1009,7222,Huge
travbeachboy,fashion,971518,143,558,Huge
janataffarel,fashion,969934,1361,3345,Huge
saffronbarker,fashion,968506,655,1855,Huge
csiriano,fashion,965526,1090,6990,Huge
sophiathomalla,fashion,963710,665,1111,Huge
johanneshuebl,fashion,960792,59,1905,Huge
vanesa_romero,fashion,958464,735,2770,Huge
gentbelike,fashion,947786,13,14225,Huge
gloria_nbr,fashion,946198,112,368,Huge
carringtondurham,fashion,942569,399,1286,Huge
adelina.pestritu,fashion,940635,1774,7695,Huge
gaellegd,fashion,940160,127,566,Huge
thepatriciabright,fashion,939843,932,1288,Huge
lolowood_,fashion,938597,898,860,Huge
melitatoniolo,fashion,937144,2326,5024,Huge
jennydenucci,fashion,936272,933,1148,Huge
diipakhosla,fashion,934372,950,883,Huge
giuliapenna_official,fashion,931511,562,2164,Huge
mimielashiry,fashion,930085,1968,4863,Huge
culturewithcoco,fashion,929288,1442,1192,Huge
dylanjordan,fashion,929041,199,1004,Huge
iamlilimar,fashion,925718,3766,2624,Huge
nadiaturner,fashion,923438,197,1164,Huge
hellopakistan,fashion,922245,1120,53844,Huge
ardenrose,fashion,919914,647,2082,Huge
happilygrey,fashion,918838,1939,6698,Huge
lacalurivero,fashion,917899,1708,4057,Huge
makeupkaty,fashion,913074,144,1558,Huge
zorannah,fashion,910646,984,7591,Huge
ashnichole_xo,fashion,907261,1250,1271,Huge
elenimenegaki,fashion,902959,100,976,Huge
lexijayde,fashion,901979,909,766,Huge
paolaturani,fashion,899940,1021,4625,Huge
msrebeccablack,fashion,896224,704,1940,Huge
fashionhippieloves,fashion,894586,2644,4853,Huge
beatricevendramin,fashion,890400,552,1654,Huge
stylescrapbook,fashion,888646,794,10434,Huge
mariapombo,fashion,888140,493,1997,Huge
beauteactive,fashion,884535,137,2903,Huge
mariasole_pollio,fashion,877323,296,581,Huge
giulianatiofficial,fashion,876540,426,1932,Huge
theerealkarlaj,fashion,875831,402,365,Huge
jasminevillegas,fashion,875012,113,265,Huge
oscarbranzani,fashion,874881,223,3192,Huge
emitaz,fashion,866596,380,868,Huge
rocio0sorno,fashion,860770,250,1828,Huge
adaripp,fashion,860767,1121,1252,Huge
rosieawilliams,fashion,855198,1426,386,Huge
vidyavox,fashion,854714,201,396,Huge
k.els.e.y,fashion,853973,312,746,Huge
joshuaritchie1,fashion,849221,852,788,Huge
kendallraeknight,fashion,849134,919,1541,Huge
natyashba,fashion,848161,565,1072,Huge
ignaziomoser,fashion,845795,752,440,Huge
caraasantana,fashion,844250,790,4260,Huge
michellesalasb,fashion,842966,2048,3008,Huge
slickwoods,fashion,839846,1280,815,Huge
jujunorremose,fashion,836713,449,5881,Huge
jessiepaege,fashion,829217,309,1139,Huge
elizabethcturner,fashion,828497,981,683,Huge
thatsheart,fashion,828489,514,2704,Huge
dtrix,fashion,825946,636,1583,Huge
vanessagrimaldi30,fashion,825628,922,575,Huge
lamiyaslimani,fashion,825621,348,1498,Huge
micololivieri_,fashion,823861,235,2274,Huge
jennaminnie,fashion,823712,1529,1098,Huge
veronicaferraro,fashion,822614,2326,7198,Huge
morgandwestbrooks,fashion,822406,2588,7220,Huge
hoxha_aurela,fashion,817029,290,1113,Huge
munishmaya,fashion,815335,40,1119,Huge
renatameins,fashion,814333,700,2908,Huge
lateysha_grace,fashion,812566,812,785,Huge
yvonnepferrer,fashion,812284,533,1786,Huge
georgialouiseharrison,fashion,811127,1881,1640,Huge
francescachillemi___,fashion,809209,1250,538,Huge
corentinhuard,fashion,803155,222,552,Huge
tiarachel91,fashion,802805,1027,393,Huge
marta.losito,fashion,801637,2215,439,Huge
agatha,fashion,801335,356,3536,Huge
bestofstreetstyled,fashion,801220,13,8489,Huge
mollieking,fashion,799228,548,2164,Huge
federicapaper,fashion,796813,1535,419,Huge
oficialganacin,fashion,795674,2033,3405,Huge
vivaluxuryblog,fashion,795050,712,3749,Huge
kamiahadams,fashion,793289,412,865,Huge
giizeleoliveira,fashion,792869,829,2335,Huge
sharnaburgess,fashion,786083,619,1513,Huge
saulnanni,fashion,781704,498,415,Huge
silvietta_raffa,fashion,779986,183,1903,Huge
juliafaria,fashion,779915,982,5349,Huge
rose_bertram,fashion,779753,527,2623,Huge
rickygissss,fashion,778463,671,1351,Huge
kelseymerritt,fashion,773782,479,756,Huge
jenniferbachdim,fashion,772760,621,2092,Huge
belenhostalet,fashion,770647,880,2336,Huge
jennaushkowitz,fashion,768370,1860,1681,Huge
wiintrr,fashion,766946,86,662,Huge
cristinacordula,fashion,765967,459,927,Huge
chaileeson,fashion,764976,297,1290,Huge
lurehsu,fashion,759003,191,1302,Huge
sofia_dallerive,fashion,758235,481,576,Huge
aliciasilverstone,fashion,757397,65,581,Huge
cocoelif,fashion,754146,87,1207,Huge
elenamoralireal,fashion,753903,426,1155,Huge
spanglishfashion,fashion,752587,948,4184,Huge
sofijuok,fashion,752112,656,3224,Huge
colympios,fashion,750956,943,318,Huge
latainax3,fashion,746844,789,568,Huge
brendanrobinson,fashion,740935,173,792,Huge
teresannabellambriana,fashion,739440,1460,1075,Huge
bionditudo,fashion,738499,718,1456,Huge
pamallier,fashion,737272,896,3011,Huge
lydiaemillen,fashion,737157,724,2456,Huge
amyytk,fashion,735209,386,637,Huge
esteelalonde,fashion,734749,648,3078,Huge
marlohampton,fashion,733480,0,2801,Huge
domlever,fashion,732615,400,665,Huge
proudlock,fashion,732109,496,3199,Huge
kristinaschulman,fashion,731391,486,264,Huge
lucavezil,fashion,731065,757,2163,Huge
elenadamario,fashion,729412,441,1213,Huge
meryturiel,fashion,727367,398,2495,Huge
affaf,fashion,724350,278,314,Huge
micarocha,fashion,723704,1163,5241,Huge
lorihoxha,fashion,722732,195,1026,Huge
kburton_25,fashion,722371,449,770,Huge
samthompsonuk,fashion,719917,108,892,Huge
samanthafrison,fashion,719318,142,688,Huge
casonatosilvia,fashion,718191,291,471,Huge
thearabianprincess,fashion,716840,702,491,Huge
weallwanther,fashion,715451,4366,1675,Huge
samgolbach,fashion,715099,104,577,Huge
linda_kafexholli,fashion,711946,228,754,Huge
martalozanop,fashion,711428,475,1764,Huge
jasmine_tosh,fashion,709913,702,2848,Huge
kissedbyken,fashion,709035,4331,1826,Huge
thefashionista,fashion,708633,314,1717,Huge
elenoirec,fashion,708227,431,1522,Huge
nichelifestyle,fashion,707294,3002,49953,Huge
teachingmensfashion,fashion,704802,84,1266,Huge
theblondesalad,fashion,703466,85,2630,Huge
rocsidiaz,fashion,703225,772,4679,Huge
irinavoronina,fashion,701878,1582,657,Huge
lori_harvey_,fashion,698264,198,474,Huge
eugeniatobal,fashion,697443,947,2345,Huge
riverviiperi,fashion,697236,271,697,Huge
louiseroe,fashion,696148,485,3863,Huge
wdywt,fashion,696126,0,4434,Huge
marykaterob,fashion,696028,676,1271,Huge
olciiak,fashion,696021,222,1046,Huge
mayajama,fashion,695742,995,1404,Huge
claudia_romani,fashion,695725,2698,6883,Huge
lara_stone,fashion,695684,349,1443,Huge
thebeautybeau,fashion,693758,770,1885,Huge
camillecharriere,fashion,693296,927,6878,Huge
tamara,fashion,691214,560,2479,Huge
meganbatoon,fashion,690943,347,1145,Huge
itsnotsonia,fashion,686070,593,407,Huge
rpomplun,fashion,685216,1001,1070,Huge
mia_dinoto,fashion,681008,413,985,Huge
valebigella,fashion,679668,750,1108,Huge
gabyamarantos,fashion,675599,695,4640,Huge
aleshaofficial,fashion,673691,609,1901,Huge
kaitlynn,fashion,673000,1201,1005,Huge
lahamag,fashion,672613,1547,20906,Huge
shandarogers,fashion,671049,1366,1668,Huge
noholita,fashion,669368,468,5336,Huge
tracisteele,fashion,669038,289,1223,Huge
belen_soto,fashion,668174,630,2222,Huge
piperrockelle,fashion,667486,1393,1605,Huge
ruslanagee,fashion,664818,329,1025,Huge
manhattangirl,fashion,663769,531,518,Huge
fraferragni,fashion,661624,1948,2338,Huge
monifajansen,fashion,660418,48,1040,Huge
radhikasethh,fashion,659205,169,702,Huge
blvckd0pe,fashion,658493,333,3542,Huge
xttiona,fashion,656736,503,1192,Huge
nicholeciotti,fashion,655826,515,2799,Huge
aurelievandaelen,fashion,654590,602,1030,Huge
jordyn_wieber,fashion,654585,629,1264,Huge
josefinehj,fashion,652713,499,3519,Huge
tonyamichelle26,fashion,652307,2357,4683,Huge
vatanika,fashion,651061,1001,2825,Huge
cynthiasenek,fashion,649363,1238,1830,Huge
bran.wolf,fashion,647801,615,757,Huge
olafarahat,fashion,642205,2079,2133,Huge
lillielexie,fashion,639468,1023,1531,Huge
mariezamboli,fashion,638152,609,1475,Huge
martahazas,fashion,636403,573,1683,Huge
larsenthompson,fashion,636237,688,785,Huge
coni_piccoli,fashion,634716,444,1412,Huge
simplynessa15,fashion,634403,645,661,Huge
swamicaputo,fashion,629784,882,557,Huge
mmkemio,fashion,626594,667,404,Huge
emilyanngemma,fashion,624881,629,3231,Huge
transformation,fashion,621505,22,2687,Huge
sophieeturner,fashion,620332,760,532,Huge
marcellosacchetta,fashion,618624,478,1501,Huge
lili_mitrovic,fashion,618595,1821,2752,Huge
madi_edwards,fashion,616353,1136,1616,Huge
plusmodelmag,fashion,616218,4050,29596,Huge
dominic.harrison.official,fashion,616058,49,1268,Huge
emy_ltr,fashion,615709,411,1894,Huge
sophiaamoruso,fashion,615130,2166,2864,Huge
douniaslimani,fashion,614151,186,1415,Huge
thehautepursuit,fashion,613439,855,4820,Huge
shetroublemaker,fashion,611438,303,838,Huge
laurajadestone,fashion,610666,806,1964,Huge
janadacovic,fashion,610422,224,1041,Huge
martinaluchena,fashion,608380,1119,1665,Huge
levanteofficial,fashion,608048,747,3850,Huge
sabrinaghio,fashion,607353,1144,2582,Huge
jenniferstano,fashion,604699,1341,922,Huge
brittney_saunders,fashion,602694,279,3232,Huge
zaraaddiction,fashion,601101,2162,24709,Huge
abby,fashion,599985,462,394,Huge
deemaalasadi,fashion,597269,4678,2878,Huge
arika,fashion,596680,1673,2840,Huge
huntforstyles,fashion,594817,686,2952,Huge
theoliviajordan,fashion,594240,485,1623,Huge
dagi_shop,fashion,592585,5,533,Huge
marlacatherine,fashion,592139,83,509,Huge
dentistasfit,fashion,592066,2232,4221,Huge
unahealy,fashion,591749,701,2210,Huge
roshniwaliaa,fashion,590306,481,861,Huge
tiffanyalvord,fashion,589796,981,3696,Huge
hanagiraldo,fashion,589267,1617,427,Huge
ginadiazh,fashion,588814,774,1350,Huge
