,Username,Category,Followers,Followees,Posts,Level
2618,onlymerosieb,fashion,93410.0,3116,1592,Mid
2619,deardiaryblog,fashion,93397.0,930,3577,Mid
2620,underthecafelights,fashion,93389.0,256,1006,Mid
2621,berrymalinowska,fashion,93200.0,478,1314,Mid
2622,jasminelhr,fashion,93150.0,954,878,Mid
2623,jesshogancrum,fashion,93129.0,1041,802,Mid
2624,life.of.a.sister,fashion,93111.0,1025,1547,Mid
2625,veroniquesophie,fashion,93067.0,637,2870,Mid
2626,vivi_koenig,fashion,93038.0,1270,426,Mid
2627,hausofcolor,fashion,93000.0,227,2165,Mid
2628,danieleoscarspada,fashion,92957.0,3382,402,Mid
2629,kelseyinlondon,fashion,92952.0,1360,1434,Mid
2630,40_little_toes,fashion,92909.0,1298,468,Mid
2631,una216,fashion,92901.0,4331,1798,Mid
2632,misstrawberryfields,fashion,92884.0,998,2723,Mid
2633,hedleyandbennett,fashion,92878.0,1355,3379,Mid
2634,karenfleischmann,fashion,92835.0,2065,610,Mid
2635,nikillae,fashion,92825.0,754,2163,Mid
2636,jennyplogstyle,fashion,92814.0,3643,670,Mid
2637,aliluvi,fashion,92772.0,280,584,Mid
2638,elbio_bonsaglio,fashion,92745.0,2258,1392,Mid
2639,emilypalos,fashion,92744.0,3887,2105,Mid
2640,melissaa_estrellaa,fashion,92723.0,300,314,Mid
2641,alexaphelece,fashion,92708.0,1156,398,Mid
2642,mmarianaribeiro,fashion,92533.0,111,3717,Mid
2643,alice_tranchida,fashion,92498.0,4354,859,Mid
2644,shallwesasa,fashion,92419.0,3300,4127,Mid
2645,dreamin.loud,fashion,92365.0,844,820,Mid
2646,yuliya.oleynykova,fashion,92299.0,628,737,Mid
2647,misslizheart,fashion,92254.0,837,1938,Mid
2648,ljiashann01,fashion,92158.0,3305,3484,Mid
2649,theshelbylyn,fashion,92147.0,980,395,Mid
2650,gabyquintero17,fashion,92126.0,1121,856,Mid
2651,tanyafosterblog,fashion,91870.0,1010,2510,Mid
2652,sarafructuoso__,fashion,91834.0,318,1740,Mid
2653,whitneyfransway,fashion,91827.0,726,721,Mid
2654,laurentoyota,fashion,91772.0,1389,2564,Mid
2655,louloudesaison,fashion,91743.0,2813,1223,Mid
2656,sariafrancis,fashion,91675.0,7501,1333,Mid
2657,james_patrice,fashion,91616.0,3390,4462,Mid
2658,theworldofsisters,fashion,91585.0,536,1851,Mid
2659,stormette__,fashion,91560.0,338,1355,Mid
2660,victoriouslogan,fashion,91557.0,627,2048,Mid
2661,prissilasanchez,fashion,91549.0,1036,1577,Mid
2662,lotustreee,fashion,91489.0,496,539,Mid
2663,jacquiealexander,fashion,91369.0,615,2196,Mid
2664,julianolan,fashion,91354.0,881,404,Mid
2665,trishandari,fashion,91305.0,1619,1335,Mid
2666,lisa_allen,fashion,91266.0,792,1371,Mid
2667,sophiebmodel,fashion,91234.0,804,385,Mid
2668,mish_mindy,fashion,91226.0,1768,1620,Mid
2669,rechcamila,fashion,91204.0,1055,3254,Mid
2670,amy_cbandbp,fashion,91192.0,793,2362,Mid
2671,laratolksdorf,fashion,91173.0,666,622,Mid
2672,vvanessaborges,fashion,91095.0,6924,1425,Mid
2673,marija.andric.photography,fashion,91087.0,994,1755,Mid
2674,thepennycloset_,fashion,91060.0,992,2566,Mid
2675,ellesouthafrica,fashion,90969.0,618,3516,Mid
2676,fashionstyleblogs,fashion,90962.0,5176,479,Mid
2677,formallyjes,fashion,90955.0,991,1287,Mid
2678,whitneynrife,fashion,90929.0,397,5136,Mid
2679,roseoffashion,fashion,90832.0,273,396,Mid
2680,allymisslove,fashion,90751.0,1291,1534,Mid
2681,megan.milan,fashion,90729.0,161,448,Mid
2682,mercuryyuki,fashion,90679.0,505,936,Mid
2683,julia.haupt,fashion,90670.0,7344,658,Mid
2684,regianneahadi,fashion,90663.0,3234,2081,Mid
2685,eveningstandardmagazine,fashion,90559.0,2162,4869,Mid
2686,mirthamichelle,fashion,90486.0,1220,1322,Mid
2687,kevin_pabel,fashion,90356.0,587,1512,Mid
2688,english_ems,fashion,90317.0,2223,479,Mid
2689,shannon_lawson,fashion,90290.0,1301,878,Mid
2690,francescatamburini,fashion,90290.0,364,720,Mid
2691,afrostylicity,fashion,90261.0,516,481,Mid
2692,hausofsherry,fashion,90232.0,667,779,Mid
2693,sophiesuchan,fashion,90187.0,997,1928,Mid
2694,toularose,fashion,90121.0,967,1341,Mid
2695,chelseaolivia13,fashion,90112.0,982,1216,Mid
2696,cohlab_nyc,fashion,90111.0,754,515,Mid
2697,elizabeth_sagan,fashion,90091.0,5547,364,Mid
2698,romyraves,fashion,90070.0,3842,3663,Mid
2699,annabelrosendahl,fashion,90024.0,652,2330,Mid
2700,dailyfrontrow,fashion,89876.0,1606,3878,Mid
2701,scxkl_sammy,fashion,89862.0,619,501,Mid
2702,lexi_goodman,fashion,89763.0,547,510,Mid
2703,aliciamlund,fashion,89616.0,1272,4239,Mid
2704,khadija_chahed,fashion,89610.0,118,504,Mid
2705,miriamcandurro,fashion,89478.0,764,796,Mid
2706,kathryynn,fashion,89475.0,858,426,Mid
