Date,Open,High,Low,Close,Adj Close,Volume
2005/4/1,1180.589966,1191.880005,1136.150024,1156.849976,1156.849976,43424270000
2005/5/1,1156.849976,1199.560059,1146.180054,1191.5,1191.5,39321990000
2005/6/1,1191.5,1219.589966,1188.300049,1191.329956,1191.329956,40334040000
2005/7/1,1191.329956,1245.150024,1183.550049,1234.180054,1234.180054,37464670000
2005/8/1,1234.180054,1245.859985,1201.069946,1220.329956,1220.329956,42030090000
2005/9/1,1220.329956,1243.130005,1205.349976,1228.810059,1228.810059,44777510000
2005/10/1,1228.810059,1233.339966,1168.199951,1207.01001,1207.01001,49793790000
2005/11/1,1207.01001,1270.640015,1201.069946,1249.47998,1249.47998,45102870000
2005/12/1,1249.47998,1275.800049,1246.589966,1248.290039,1248.290039,41756130000
2006/1/1,1248.290039,1294.900024,1245.73999,1280.079956,1280.079956,49211650000
2006/2/1,1280.079956,1297.569946,1253.609985,1280.660034,1280.660034,42859940000
2006/3/1,1280.660034,1310.880005,1268.420044,1294.869995,1294.869995,50905040000
2006/4/1,1302.880005,1318.160034,1280.73999,1310.609985,1310.609985,43308430000
2006/5/1,1310.609985,1326.699951,1245.339966,1270.089966,1270.089966,54312830000
2006/6/1,1270.050049,1290.680054,1219.290039,1270.199951,1270.199951,54873260000
2006/7/1,1270.060059,1280.420044,1224.540039,1276.660034,1276.660034,46348220000
2006/8/1,1278.530029,1306.73999,1261.300049,1303.819946,1303.819946,50485620000
2006/9/1,1303.800049,1340.280029,1290.930054,1335.849976,1335.849976,49001440000
2006/10/1,1335.819946,1389.449951,1327.099976,1377.939941,1377.939941,56793620000
2006/11/1,1377.76001,1407.890015,1360.97998,1400.630005,1400.630005,55343930000
2006/12/1,1400.630005,1431.810059,1385.930054,1418.300049,1418.300049,47578780000
2007/1/1,1418.030029,1441.609985,1403.969971,1438.23999,1438.23999,56686200000
2007/2/1,1437.900024,1461.569946,1389.420044,1406.819946,1406.819946,51844990000
2007/3/1,1406.800049,1438.890015,1363.97998,1420.859985,1420.859985,67622250000
2007/4/1,1420.829956,1498.02002,1416.369995,1482.369995,1482.369995,57032470000
2007/5/1,1482.369995,1535.560059,1476.699951,1530.619995,1530.619995,64958050000
2007/6/1,1530.619995,1540.560059,1484.180054,1503.349976,1503.349976,65322800000
2007/7/1,1504.660034,1555.900024,1454.25,1455.27002,1455.27002,70337430000
2007/8/1,1455.180054,1503.890015,1370.599976,1473.98999,1473.98999,91381760000
2007/9/1,1473.959961,1538.73999,1439.290039,1526.75,1526.75,57809700000
2007/10/1,1527.290039,1576.089966,1489.560059,1549.380005,1549.380005,76022580000
2007/11/1,1545.790039,1545.790039,1406.099976,1481.140015,1481.140015,86246950000
2007/12/1,1479.630005,1523.569946,1435.650024,1468.359985,1468.359985,64821670000
2008/1/1,1467.969971,1471.77002,1270.050049,1378.550049,1378.550049,98475340000
2008/2/1,1378.599976,1396.02002,1316.75,1330.630005,1330.630005,78536130000
2008/3/1,1330.449951,1359.680054,1256.97998,1322.699951,1322.699951,93189170000
2008/4/1,1326.410034,1404.569946,1324.349976,1385.589966,1385.589966,85978630000
