,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1998,4.2,9.1,13.2,109.4,3.4,4.4
1,Alaska,1998,3.8,3.6,7.4,24.2,-2.6,0.6
2,Arizona,1998,2.8,19.2,22,143.4,8.7,4.8
3,Arkansas,1998,2.4,3.7,6.1,62.4,2.5,2.6
4,California,1998,50.3,111.2,161.5,"1,147.80",6.7,33.0
5,Colorado,1998,3.6,17.3,20.9,150.4,9.2,4.1
6,Connecticut,1998,17.7,4.8,22.5,145.5,2.9,3.4
7,Delaware,1998,3.8,1.2,5,36.8,10.0,0.8
8,District of Columbia,1998,0.0,4.8,4.8,54.9,2.0,0.6
9,Florida,1998,17.0,54.8,71.8,430.1,5.2,15.3
10,Georgia,1998,6.0,19.4,25.4,264.9,7.2,7.8
11,Hawaii,1998,5.7,2.1,7.8,37.6,-2.4,1.2
12,Idaho,1998,1.9,1.0,2.9,31,4.8,1.2
13,Illinois,1998,25.3,33.5,58.9,436.2,3.1,12.2
14,Indiana,1998,6.7,9.4,16.1,184.6,6.1,6.0
15,Iowa,1998,2.0,4.5,6.5,84.5,0.8,2.9
16,Kansas,1998,1.4,7.9,9.3,78.5,3.6,2.6
17,Kentucky,1998,6.8,14.1,20.9,109.7,3.1,4.0
18,Louisiana,1998,7.1,9.6,16.7,120.4,3.4,4.4
19,Maine,1998,3.5,1.8,5.3,32.2,2.8,1.3
20,Maryland,1998,10.5,12.8,23.3,170,4.8,5.2
21,Massachusetts,1998,32.8,13.5,46.3,249.2,4.0,6.3
22,Michigan,1998,16.1,22.8,39,312.6,2.3,9.8
23,Minnesota,1998,5.3,21.5,26.9,166.3,5.2,4.8
24,Mississippi,1998,2.7,4.9,7.6,61,2.6,2.8
25,Missouri,1998,8.1,7.9,16,169.4,1.7,5.5
26,Montana,1998,2.3,1.2,3.4,20.4,4.4,0.9
27,Nebraska,1998,1.9,4.6,6.5,51.8,2.2,1.7
28,Nevada,1998,2.9,8.4,11.3,65.3,5.1,1.8
29,New Hampshire,1998,5.4,1.2,6.6,40.6,6.6,1.2
30,New Jersey,1998,27.2,19.3,46.6,319.9,1.8,8.3
31,New Mexico,1998,2.6,4.0,6.6,50.7,-0.5,1.8
32,New York,1998,73.3,82.5,155.7,745.2,2.0,18.8
33,North Carolina,1998,6.9,18.7,25.6,245.9,3.1,7.7
34,North Dakota,1998,0.9,1.1,1.9,16.8,5.7,0.6
35,Ohio,1998,14.2,19.8,33.9,361.6,3.4,11.3
36,Oklahoma,1998,4.0,5.5,9.4,81.2,2.1,3.4
37,Oregon,1998,5.7,7.7,13.4,105.1,4.8,3.3
38,Pennsylvania,1998,16.4,45.5,61.9,372.7,2.6,12.2
39,Rhode Island,1998,5.4,1.1,6.5,30.7,4.1,1.0
40,South Carolina,1998,5.2,10.0,15.1,103.6,3.9,3.9
41,South Dakota,1998,2.1,1.0,3,20.2,5.9,0.7
42,Tennessee,1998,3.2,13.3,16.5,167.3,6.1,5.5
43,Texas,1998,14.4,69.3,83.7,645.7,6.4,20.0
44,All states combined,1998,483.1,800.4,"1,283.60","9,062.80",4.5,274.6
45,Utah,1998,3.4,9.4,12.8,62.3,6.2,2.1
46,Vermont,1998,2.1,0.6,2.7,16.1,3.4,0.6
47,Virginia,1998,10.8,18.2,29,233.1,5.2,6.9
48,Washington,1998,10.3,24.7,35,210.2,6.4,5.7
49,West Virginia,1998,3.4,3.5,6.9,40.1,1.6,1.8
50,Wisconsin,1998,10.7,12.5,23.2,162.5,3.8,5.3
51,Wyoming,1998,1.0,1.1,2.2,14.9,2.4,0.5
