,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1988,3.2,5.9,9.0,66,5.0,4.0
1,Alaska,1988,6.1,4.8,10.9,21.3,-10.4,0.5
2,Arizona,1988,2.0,16.7,18.7,64.9,4.5,3.5
3,Arkansas,1988,1.6,2.7,4.4,35,3.5,2.3
4,California,1988,24.1,52.4,76.5,671.6,5.4,28.4
5,Colorado,1988,2.3,9.7,12.0,67.8,2.4,3.2
6,Connecticut,1988,8.3,2.9,11.1,90.7,5.6,3.3
7,Delaware,1988,2.8,1.0,3.7,16.9,4.8,0.7
8,District of Columbia,1988,0.0,3.8,3.8,35.2,5.9,0.6
9,Florida,1988,8.3,35.0,43.3,224.8,6.0,12.2
10,Georgia,1988,3.1,12.5,15.6,126.6,4.5,6.3
11,Hawaii,1988,2.9,0.7,3.6,26.8,6.6,1.1
12,Idaho,1988,0.7,0.5,1.2,15.3,5.5,1.0
13,Illinois,1988,13.1,15.0,28.1,252.2,5.4,11.4
14,Indiana,1988,3.1,5.0,8.1,99.5,4.9,5.5
15,Iowa,1988,1.4,3.3,4.7,49.1,4.7,2.8
16,Kansas,1988,0.4,6.7,7.1,46.7,2.1,2.5
17,Kentucky,1988,5.0,7.9,12.9,61.9,6.2,3.7
18,Louisiana,1988,11.3,8.6,19.9,83.2,2.4,4.2
19,Maine,1988,1.7,1.0,2.7,21.4,7.7,1.2
20,Maryland,1988,5.6,8.8,14.4,101.3,7.1,4.7
21,Massachusetts,1988,13.8,7.0,20.8,151.6,5.4,6.0
22,Michigan,1988,8.5,11.1,19.6,180.6,3.1,9.3
23,Minnesota,1988,3.6,14.2,17.8,91.9,4.0,4.3
24,Mississippi,1988,1.5,3.3,4.7,35.5,2.4,2.6
25,Missouri,1988,4.6,4.6,9.2,95.8,4.0,5.1
26,Montana,1988,1.2,1.1,2.3,11.7,-0.7,0.8
27,Nebraska,1988,1.4,4.8,6.2,29.3,5.6,1.6
28,Nevada,1988,1.4,2.5,3.8,25,10.0,1.1
29,New Hampshire,1988,2.7,0.7,3.5,22.9,5.5,1.1
30,New Jersey,1988,17.4,12.7,30.1,194.7,7.7,7.7
31,New Mexico,1988,1.7,3.5,5.2,23.5,1.0,1.5
32,New York,1988,41.9,38.5,80.4,456.6,5.4,17.9
33,North Carolina,1988,2.7,11.3,14.0,124.3,6.0,6.5
34,North Dakota,1988,0.8,0.8,1.6,9.7,-8.6,0.6
35,Ohio,1988,9.8,10.5,20.3,205.3,3.4,10.8
36,Oklahoma,1988,3.8,4.3,8.0,52.7,3.7,3.1
37,Oregon,1988,6.8,3.7,10.5,49.1,6.4,2.8
38,Pennsylvania,1988,9.3,30.1,39.4,220.6,5.0,11.9
39,Rhode Island,1988,2.9,0.7,3.5,19.7,6.6,1.0
40,South Carolina,1988,3.6,5.2,8.9,57.3,5.1,3.4
41,South Dakota,1988,1.6,0.4,2.0,11.2,1.2,0.7
42,Tennessee,1988,2.3,8.9,11.2,87.4,4.5,4.8
43,Texas,1988,7.1,52.2,59.3,327.4,5.2,16.4
44,All states combined,1988,277.0,478.0,755.0,"5,236.40",4.2,244.1
45,Utah,1988,1.5,7.8,9.3,27.3,5.2,1.7
46,Vermont,1988,0.9,0.4,1.3,10.3,8.2,0.6
47,Virginia,1988,4.5,7.5,12.0,128.1,5.2,6.0
48,Washington,1988,4.3,16.0,20.3,99.1,5.9,4.7
49,West Virginia,1988,2.5,3.0,5.4,25.9,6.7,1.8
50,Wisconsin,1988,5.0,5.2,10.2,89.6,5.6,4.9
51,Wyoming,1988,0.8,1.4,2.2,11,2.4,0.5
