,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1999,4.5,9.8,14.3,115,3.7,4.4
1,Alaska,1999,3.9,3.5,7.4,24.7,-1.1,0.6
2,Arizona,1999,2.7,20.2,22.9,155.3,8.2,5.0
3,Arkansas,1999,2.5,4.4,6.9,66.8,5.3,2.6
4,California,1999,54.0,114.4,168.3,"1,247.10",7.6,33.4
5,Colorado,1999,4.1,18.0,22.1,164.2,7.6,4.2
6,Connecticut,1999,17.5,4.7,22.2,152.3,3.0,3.4
7,Delaware,1999,3.7,1.2,4.9,40.4,8.3,0.8
8,District of Columbia,1999,0.0,4.9,4.9,58.8,4.3,0.6
9,Florida,1999,17.8,57.9,75.7,458.3,4.5,15.6
10,Georgia,1999,6.3,20.0,26.3,289,7.1,8.0
11,Hawaii,1999,5.4,2.2,7.7,39.3,1.5,1.2
12,Idaho,1999,2.0,1.1,3.1,34.1,9.6,1.3
13,Illinois,1999,26.6,36.3,62.9,459.3,3.6,12.3
14,Indiana,1999,7.1,11.4,18.5,193.1,3.3,6.0
15,Iowa,1999,2.5,4.7,7.2,87.7,2.1,2.9
16,Kansas,1999,1.5,8.3,9.7,81.9,2.5,2.7
17,Kentucky,1999,7.4,15.1,22.5,115.3,3.1,4.0
18,Louisiana,1999,7.2,10.2,17.3,126,2.0,4.4
19,Maine,1999,3.9,1.7,5.6,34.4,4.9,1.3
20,Maryland,1999,11.2,12.7,23.9,180.2,3.9,5.2
21,Massachusetts,1999,35.8,14.5,50.3,264.8,5.3,6.3
22,Michigan,1999,16.2,27.9,44.1,337.6,5.7,9.9
23,Minnesota,1999,5.5,21.4,26.9,174.7,3.5,4.9
24,Mississippi,1999,3.2,5.4,8.6,63.8,2.7,2.8
25,Missouri,1999,8.9,8.7,17.6,177.4,2.7,5.5
26,Montana,1999,2.4,1.2,3.6,20.8,0.4,0.9
27,Nebraska,1999,1.8,4.5,6.3,53.7,2.2,1.7
28,Nevada,1999,3.0,9.3,12.3,71.5,6.7,1.9
29,New Hampshire,1999,5.4,1.3,6.8,41.9,2.8,1.2
30,New Jersey,1999,27.9,20.0,47.9,336.7,3.5,8.3
31,New Mexico,1999,3.2,4.0,7.2,53.1,5.4,1.8
32,New York,1999,76.6,94.9,171.4,793.7,5.2,18.9
33,North Carolina,1999,8.2,19.2,27.4,264.1,5.6,7.9
34,North Dakota,1999,1.3,1.1,2.5,17,0.1,0.6
35,Ohio,1999,15.0,21.5,36.5,376,2.3,11.3
36,Oklahoma,1999,5.6,5.6,11.2,84.1,1.6,3.4
37,Oregon,1999,5.7,8.6,14.3,107.5,2.2,3.4
38,Pennsylvania,1999,17.7,51.8,69.5,389.7,3.0,12.2
39,Rhode Island,1999,5.5,1.2,6.6,32.3,3.3,1.0
40,South Carolina,1999,5.1,10.5,15.6,110.3,4.6,4.0
41,South Dakota,1999,2.1,0.9,3,21.1,4.0,0.7
42,Tennessee,1999,3.3,14.1,17.4,175.8,3.0,5.6
43,Texas,1999,14.7,75.8,90.6,681.3,4.0,20.4
44,All states combined,1999,510.5,858.8,"1,369.30","9,630.70",4.8,278.0
45,Utah,1999,3.8,9.2,12.9,66,4.1,2.2
46,Vermont,1999,2.1,0.7,2.8,17.2,5.5,0.6
47,Virginia,1999,11.9,18.5,30.4,249.8,4.7,7.0
48,Washington,1999,11.1,26.1,37.2,230.6,7.3,5.8
49,West Virginia,1999,3.7,3.4,7.1,41.8,3.3,1.8
50,Wisconsin,1999,11.2,13.4,24.6,172.3,4.2,5.3
51,Wyoming,1999,1.0,1.3,2.3,15.7,3.8,0.5
