,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1983,2.3,3.7,6.0,45.7,5.2,3.9
1,Alaska,1983,4.7,3.8,8.5,22.6,-7.3,0.4
2,Arizona,1983,0.6,7.1,7.7,39.8,6.9,3.0
3,Arkansas,1983,0.7,2.5,3.2,25.3,3.4,2.3
4,California,1983,12.1,21.8,33.8,426.1,4.1,25.4
5,Colorado,1983,1.2,5.5,6.7,50.7,2.4,3.0
6,Connecticut,1983,5.2,2.2,7.5,55.5,6.5,3.2
7,Delaware,1983,1.6,0.7,2.3,10.6,7.5,0.6
8,District of Columbia,1983,0.0,3.0,3.0,24.6,3.0,0.6
9,Florida,1983,3.6,11.6,15.2,136.8,7.6,10.6
10,Georgia,1983,1.8,6.7,8.6,76.7,7.9,5.7
11,Hawaii,1983,2.3,0.3,2.7,17.3,5.5,1.0
12,Idaho,1983,0.4,0.5,1.0,11.8,6.5,1.0
13,Illinois,1983,7.9,10.8,18.7,173.1,1.4,11.4
14,Indiana,1983,1.2,4.1,5.3,69.3,2.7,5.5
15,Iowa,1983,0.6,2.4,3.0,37.5,-3.3,2.9
16,Kansas,1983,0.4,5.2,5.6,35.3,1.3,2.4
17,Kentucky,1983,3.0,6.3,9.4,44.1,0.6,3.7
18,Louisiana,1983,5.2,6.5,11.8,76.9,-5.2,4.2
19,Maine,1983,1.1,0.7,1.7,13.2,5.2,1.2
20,Maryland,1983,4.7,6.0,10.7,62.2,6.3,4.4
21,Massachusetts,1983,7.9,5.2,13.1,93.1,6.9,5.8
22,Michigan,1983,4.7,9.2,13.9,127.8,6.7,9.3
23,Minnesota,1983,2.8,8.9,11.6,62,3.7,4.2
24,Mississippi,1983,0.9,1.7,2.7,26,1.5,2.5
25,Missouri,1983,2.3,3.5,5.8,65.5,3.9,5.0
26,Montana,1983,0.5,1.0,1.5,10.6,-0.2,0.8
27,Nebraska,1983,0.4,4.9,5.3,21.8,-1.3,1.6
28,Nevada,1983,0.8,1.3,2.0,15.1,4.4,0.9
29,New Hampshire,1983,1.5,0.4,2.0,12.6,6.5,1.0
30,New Jersey,1983,10.3,7.5,17.8,118,7.3,7.5
31,New Mexico,1983,1.1,2.4,3.5,19.9,-0.6,1.4
32,New York,1983,27.8,26.5,54.2,305.3,4.1,17.7
33,North Carolina,1983,1.6,6.3,7.9,77.5,8.2,6.1
34,North Dakota,1983,0.4,0.7,1.0,10,-2.9,0.6
35,Ohio,1983,6.1,7.9,14.0,144.9,3.6,10.8
36,Oklahoma,1983,1.3,3.8,5.1,47.7,-6.9,3.1
37,Oregon,1983,6.6,2.8,9.4,33.7,2.7,2.7
38,Pennsylvania,1983,6.5,14.9,21.3,152,3.0,11.9
39,Rhode Island,1983,2.2,0.6,2.8,12.3,3.8,1.0
40,South Carolina,1983,3.2,2.2,5.4,35.9,6.6,3.2
41,South Dakota,1983,0.8,0.5,1.3,8.1,1.4,0.7
42,Tennessee,1983,1.8,5.7,7.5,57.1,5.5,4.7
43,Texas,1983,3.0,27.1,30.2,264.9,-2.0,15.0
44,All states combined,1983,167.0,287.0,454.0,"3,634.00",4.6,233.0
45,Utah,1983,1.1,4.1,5.2,19.8,3.5,1.5
46,Vermont,1983,0.8,0.3,1.1,6.3,4.8,0.5
47,Virginia,1983,2.7,4.7,7.4,79.4,7.0,5.6
48,Washington,1983,2.5,14.4,17.0,67.9,3.9,4.3
49,West Virginia,1983,1.7,2.2,3.9,20.4,-4.3,1.9
50,Wisconsin,1983,3.2,3.7,6.9,63.2,2.2,4.8
51,Wyoming,1983,0.6,1.2,1.8,11.6,-10.3,0.5
