,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2008,8.5,18.5,27,172.7,-0.3,4.7
1,Alaska,2008,6.5,3.5,10,54.8,-0.4,0.7
2,Arizona,2008,10.5,33,43.5,259.4,-2.6,6.5
3,Arkansas,2008,4.4,8.6,13,99,-0.3,2.9
4,California,2008,121.9,219.1,341,"1,990.70",0.4,36.6
5,Colorado,2008,15.9,31.8,47.7,255.6,1.2,4.9
6,Connecticut,2008,27.6,9.1,36.6,240.9,-0.5,3.5
7,Delaware,2008,5.7,2.2,7.9,54.8,-4.2,0.9
8,District of Columbia,2008,0,9.6,9.6,99.5,3.7,0.6
9,Florida,2008,44.1,102.4,146.5,750.5,-3.9,18.4
10,Georgia,2008,12,37.5,49.5,412.9,-2.1,9.7
11,Hawaii,2008,6.3,4.4,10.7,66.9,0.7,1.3
12,Idaho,2008,3.4,2.3,5.7,55.5,1.7,1.5
13,Illinois,2008,58.4,65.5,123.9,646.4,-1.9,12.8
14,Indiana,2008,19.9,26.5,46.4,272.8,-0.4,6.4
15,Iowa,2008,7.2,8.2,15.5,136.6,-2.0,3.0
16,Kansas,2008,5.8,19.6,25.4,127.7,2.2,2.8
17,Kentucky,2008,12.2,24.9,37.1,158.1,0.2,4.3
18,Louisiana,2008,16.4,16.8,33.2,215.1,0.3,4.5
19,Maine,2008,5.3,2.7,8,50,-0.1,1.3
20,Maryland,2008,23.1,17.4,40.5,296.4,1.2,5.7
21,Massachusetts,2008,71.9,20.8,92.7,388.6,1.1,6.5
22,Michigan,2008,30,46.2,76.2,386.1,-5.5,10.0
23,Minnesota,2008,9.5,32.1,41.7,264.7,0.9,5.2
24,Mississippi,2008,6.3,7,13.3,96.8,4.2,2.9
25,Missouri,2008,19.7,21.6,41.3,250.6,2.4,6.0
26,Montana,2008,4.9,1.6,6.5,36.9,-0.5,1.0
27,Nebraska,2008,2.7,10.8,13.5,85.2,0.2,1.8
28,Nevada,2008,4.2,20.6,24.9,129.4,-3.8,2.6
29,New Hampshire,2008,7.9,2.7,10.6,60.9,-1.0,1.3
30,New Jersey,2008,52.8,35.2,88,495.1,1.2,8.7
31,New Mexico,2008,7.8,6.4,14.2,83.7,-0.6,2.0
32,New York,2008,114.2,158.9,273.2,"1,099.20",-2.3,19.5
33,North Carolina,2008,19.6,31.7,51.3,413.4,2.4,9.2
34,North Dakota,2008,2,2.1,4,31.7,7.9,0.6
35,Ohio,2008,27.3,42.6,69.9,495.7,-0.8,11.5
36,Oklahoma,2008,9.1,7.9,17,159.7,3.8,3.6
37,Oregon,2008,11.6,18.5,30.1,165.2,1.7,3.8
38,Pennsylvania,2008,40.1,79.2,119.3,582.2,1.9,12.6
39,Rhode Island,2008,8.9,2.6,11.5,47.1,-3.1,1.1
40,South Carolina,2008,15.2,19.7,34.9,161.8,-0.3,4.5
41,South Dakota,2008,3.4,1.9,5.4,36.7,4.2,0.8
42,Tennessee,2008,4.4,31.2,35.5,251.6,1.2,6.2
43,Texas,2008,33.6,182.8,216.4,"1,237.40",0.1,24.3
44,All states combined,2008,"1,006.40","1,558.00","2,564.40","14,712.80",-0.1,304.4
45,Utah,2008,5.9,10.9,16.8,116,-0.8,2.7
46,Vermont,2008,3.4,1.3,4.7,25.7,2.4,0.6
47,Virginia,2008,21.3,32.9,54.2,399,-0.3,7.8
48,Washington,2008,23.5,41.1,64.6,355.7,1.1,6.6
49,West Virginia,2008,6.4,3.4,9.8,62.1,2.1,1.8
50,Wisconsin,2008,22.1,20,42.1,244.8,-1.2,5.6
51,Wyoming,2008,1.3,1,2.3,42.5,5.7,0.5
