,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2000,5.3,11.5,16.8,119.2,1.6,4.5
1,Alaska,2000,4.2,3.1,7.3,26.8,-3.0,0.6
2,Arizona,2000,3.1,20.5,23.6,164.6,4.9,5.2
3,Arkansas,2000,2.7,5.1,7.8,68.8,1.0,2.7
4,California,2000,57.2,120.7,177.9,"1,366.60",8.1,34.0
5,Colorado,2000,4.4,18.8,23.2,180.6,7.6,4.3
6,Connecticut,2000,18.5,5.0,23.5,165.9,7.0,3.4
7,Delaware,2000,3.3,1.3,4.6,43.4,4.2,0.8
8,District of Columbia,2000,0.0,5.1,5.1,61.1,0.7,0.6
9,Florida,2000,18.2,60.3,78.5,489.5,4.2,16.0
10,Georgia,2000,7.1,22.9,29.9,307.6,4.1,8.2
11,Hawaii,2000,5.6,2.3,7.9,41.5,2.2,1.2
12,Idaho,2000,2.3,1.2,3.4,38,11.4,1.3
13,Illinois,2000,28.8,38.7,67.6,487.2,4.0,12.4
14,Indiana,2000,7.9,12.0,19.9,203.1,3.6,6.1
15,Iowa,2000,2.4,4.9,7.3,93,4.7,2.9
16,Kansas,2000,1.9,8.5,10.4,85.9,2.5,2.7
17,Kentucky,2000,7.8,15.7,23.4,114.3,-2.7,4.0
18,Louisiana,2000,7.8,10.2,18,132.8,-2.9,4.5
19,Maine,2000,4.1,1.8,5.8,36.8,4.6,1.3
20,Maryland,2000,11.4,12.5,23.8,192.1,4.2,5.3
21,Massachusetts,2000,39.0,16.2,55.2,289.9,8.4,6.4
22,Michigan,2000,19.4,27.8,47.2,351.6,2.1,10.0
23,Minnesota,2000,5.6,21.8,27.4,190,6.6,4.9
24,Mississippi,2000,3.2,5.3,8.5,65.6,0.6,2.8
25,Missouri,2000,9.8,9.5,19.3,187.3,3.2,5.6
26,Montana,2000,2.6,1.2,3.8,21.9,2.5,0.9
27,Nebraska,2000,1.7,5.0,6.6,56.5,3.7,1.7
28,Nevada,2000,3.0,10.2,13.2,76.6,4.0,2.0
29,New Hampshire,2000,5.5,1.5,7,45.2,6.9,1.2
30,New Jersey,2000,28.9,21.4,50.3,362,5.4,8.4
31,New Mexico,2000,3.6,4.0,7.7,55.2,1.8,1.8
32,New York,2000,78.6,98.9,177.5,838.7,3.8,19.0
33,North Carolina,2000,9.3,19.8,29.1,275.7,3.0,8.1
34,North Dakota,2000,1.5,1.3,2.8,18,3.8,0.6
35,Ohio,2000,18.1,24.0,42.1,391.1,2.0,11.4
36,Oklahoma,2000,5.7,5.7,11.4,90.8,3.7,3.5
37,Oregon,2000,6.2,9.4,15.6,117.3,8.6,3.4
38,Pennsylvania,2000,18.6,54.7,73.3,407.7,2.6,12.3
39,Rhode Island,2000,5.7,1.2,6.9,34.5,4.8,1.1
40,South Carolina,2000,7.1,11.6,18.7,115.2,2.7,4.0
41,South Dakota,2000,2.3,1.0,3.3,22.7,6.9,0.8
42,Tennessee,2000,3.3,15.1,18.4,181.6,1.2,5.7
43,Texas,2000,19.2,80.9,100.2,738.9,3.4,20.9
44,All states combined,2000,547.9,903.9,"1,451.80","10,252.30",4.1,282.2
45,Utah,2000,3.9,8.5,12.4,70.3,3.6,2.2
46,Vermont,2000,2.2,0.7,2.8,18.3,5.4,0.6
47,Virginia,2000,12.0,19.5,31.5,266.9,4.2,7.1
48,Washington,2000,11.7,27.0,38.7,237.8,0.6,5.9
49,West Virginia,2000,3.7,3.4,7.1,42.6,-0.2,1.8
50,Wisconsin,2000,11.5,14.1,25.6,180.5,3.0,5.4
51,Wyoming,2000,1.2,1.1,2.4,17.2,3.3,0.5
