,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2020,11.5,28.2,39.8,238.1,2.4,4.9
1,Alaska,2020,6,3.6,9.5,58.2,1.6,0.7
2,Arizona,2020,13.1,30,43.1,379.4,3.1,7.4
3,Arkansas,2020,7.8,16.2,24,136.8,2.0,3.0
4,California,2020,143.4,295.5,438.9,"3,230.20",2.9,39.6
5,Colorado,2020,19.5,46.2,65.7,403.6,2.9,5.8
6,Connecticut,2020,43.2,12.5,55.7,292.1,2.0,3.6
7,Delaware,2020,6,3.3,9.3,80.3,1.8,1.0
8,District of Columbia,2020,0,16.1,16.1,150.4,2.4,0.7
9,Florida,2020,26.2,96.2,122.4,"1,129.60",2.9,21.7
10,Georgia,2020,13.9,47.8,61.7,634.3,2.6,10.7
11,Hawaii,2020,10.3,6.8,17.1,98.1,2.0,1.4
12,Idaho,2020,3.6,2.9,6.5,84.3,3.1,1.8
13,Illinois,2020,77.5,116,193.5,932.9,2.4,12.6
14,Indiana,2020,22.6,26.9,49.5,394.8,2.3,6.8
15,Iowa,2020,6.6,14.1,20.6,203.8,2.2,3.2
16,Kansas,2020,5.5,15.1,20.5,179.7,2.3,2.9
17,Kentucky,2020,15.1,31.9,47.1,222.7,2.2,4.5
18,Louisiana,2020,18.6,18.7,37.4,275,2.0,4.6
19,Maine,2020,4.8,3.2,8,69.2,2.3,1.3
20,Maryland,2020,28.5,26.8,55.3,441.4,2.2,6.1
21,Massachusetts,2020,82.4,21.8,104.2,613,2.6,6.9
22,Michigan,2020,34.2,39.5,73.7,568.1,2.6,10.0
23,Minnesota,2020,17.2,38.6,55.9,396.9,2.4,5.7
24,Mississippi,2020,7,6.7,13.7,122.2,2.0,3.0
25,Missouri,2020,17.3,26.9,44.2,342.3,2.5,6.2
26,Montana,2020,2.7,2.4,5.1,52.5,2.0,1.1
27,Nebraska,2020,2.2,14.9,17.1,131.5,2.2,1.9
28,Nevada,2020,3.8,28.1,31.9,180.4,2.8,3.1
29,New Hampshire,2020,7.9,2.7,10.6,91.1,2.4,1.4
30,New Jersey,2020,66,32.1,98.1,671.6,2.3,8.9
31,New Mexico,2020,7.7,9.6,17.3,108.1,2.3,2.1
32,New York,2020,164.2,247,411.2,"1,811.80",2.4,19.4
33,North Carolina,2020,14.2,27,41.1,613.3,2.7,10.6
34,North Dakota,2020,3.3,5.9,9.3,59.8,2.5,0.8
35,Ohio,2020,29.2,47.2,76.4,729.7,2.3,11.7
36,Oklahoma,2020,9.8,11.9,21.7,219.9,2.3,4.0
37,Oregon,2020,16.2,28.2,44.4,259.7,2.9,4.3
38,Pennsylvania,2020,52.4,83.3,135.7,851.8,2.4,12.8
39,Rhode Island,2020,9.5,2.8,12.3,64.8,1.9,1.1
40,South Carolina,2020,13.3,20.1,33.4,246.6,2.2,5.2
41,South Dakota,2020,4.1,3.2,7.3,55.3,2.1,0.9
42,Tennessee,2020,6.8,41.7,48.5,396,2.7,6.9
43,Texas,2020,53.5,248.6,302.1,"1,963.60",2.8,29.4
44,All states combined,2020,"1,223.70","2,020.60","3,244.30","22,210.90",1.5,330.6
45,Utah,2020,7.4,13.2,20.6,195.5,3.2,3.3
46,Vermont,2020,3.7,1.3,5.1,36,2.1,0.6
47,Virginia,2020,31.5,43.1,74.6,576.8,2.6,8.6
48,Washington,2020,35.6,58.6,94.2,625.4,3.8,7.7
49,West Virginia,2020,10.1,5,15.1,84.6,2.5,1.8
50,Wisconsin,2020,22.5,22.4,44.9,363.9,2.5,5.8
51,Wyoming,2020,0.9,1.5,2.4,42.5,1.8,0.6
