,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,1993,4.2,7.3,11.4,84.6,1.7,4.2
1,Alaska,1993,4.4,3.8,8.3,23.3,0.0,0.6
2,Arizona,1993,3.1,15.6,18.7,89.3,5.5,4.1
3,Arkansas,1993,1.9,3.1,5,47.6,3.2,2.4
4,California,1993,41.3,81.6,122.9,826.4,0.0,30.9
5,Colorado,1993,3.1,11.3,14.4,95.7,7.0,3.6
6,Connecticut,1993,12.8,4.0,16.8,107.7,-0.5,3.3
7,Delaware,1993,3.5,1.2,4.7,23.5,0.2,0.7
8,District of Columbia,1993,0.0,5.1,5.1,45.4,2.6,0.6
9,Florida,1993,13.6,45.4,59.1,304.4,4.5,13.8
10,Georgia,1993,4.5,15.6,20.1,171.7,4.8,6.9
11,Hawaii,1993,5.0,1.7,6.7,36.7,-0.7,1.1
12,Idaho,1993,1.3,0.7,2,23.1,9.4,1.1
13,Illinois,1993,19.9,23.9,43.8,320.1,2.1,11.7
14,Indiana,1993,5.5,7.4,12.8,132.1,3.5,5.7
15,Iowa,1993,1.8,4.0,5.8,63.4,0.1,2.8
16,Kansas,1993,0.9,7.0,8,59,1.2,2.5
17,Kentucky,1993,6.8,10.5,17.3,81.6,2.8,3.8
18,Louisiana,1993,9.6,8.3,17.8,95.9,3.0,4.3
19,Maine,1993,3.0,1.5,4.5,25.2,1.2,1.2
20,Maryland,1993,8.7,11.3,20.1,125.5,2.6,4.9
21,Massachusetts,1993,25.4,9.1,34.5,173.5,1.2,6.1
22,Michigan,1993,11.0,16.3,27.3,226.4,4.3,9.5
23,Minnesota,1993,4.1,17.0,21.1,117.9,0.6,4.5
24,Mississippi,1993,1.7,3.5,5.2,47.3,5.1,2.7
25,Missouri,1993,6.5,5.6,12.1,118.9,0.7,5.3
26,Montana,1993,1.7,0.9,2.7,16.1,5.0,0.8
27,Nebraska,1993,1.6,4.6,6.2,39.4,0.6,1.6
28,Nevada,1993,1.7,4.9,6.6,40,8.5,1.4
29,New Hampshire,1993,5.2,1.0,6.3,27.4,1.5,1.1
30,New Jersey,1993,21.8,15.7,37.5,240.4,1.8,7.9
31,New Mexico,1993,1.6,2.9,4.5,36.9,10.4,1.6
32,New York,1993,59.2,63.4,122.6,537.5,1.0,18.3
33,North Carolina,1993,4.0,14.6,18.6,168,3.0,7.0
34,North Dakota,1993,0.8,1.0,1.8,13,-1.2,0.6
35,Ohio,1993,12.5,14.2,26.7,259.6,1.2,11.0
36,Oklahoma,1993,3.9,4.9,8.8,65.6,2.9,3.2
37,Oregon,1993,5.8,4.9,10.7,69.4,7.0,3.0
38,Pennsylvania,1993,13.0,38.0,51,281.7,2.0,12.0
39,Rhode Island,1993,5.0,0.7,5.7,23.6,1.6,1.0
40,South Carolina,1993,4.9,6.2,11.1,76.2,3.5,3.6
41,South Dakota,1993,1.8,0.6,2.4,16.1,5.7,0.7
42,Tennessee,1993,2.6,9.9,12.5,119.6,4.6,5.1
43,Texas,1993,8.7,59.8,68.5,443.8,4.1,18.1
44,All states combined,1993,389.7,628.0,"1,017.70","6,858.60",2.8,258.1
45,Utah,1993,2.2,8.4,10.6,38.6,6.0,1.9
46,Vermont,1993,1.4,0.5,1.9,13,1.5,0.6
47,Virginia,1993,7.4,13.2,20.6,167.7,3.0,6.4
48,Washington,1993,7.8,22.1,29.9,142.5,3.5,5.2
49,West Virginia,1993,2.7,3.7,6.4,31.9,2.4,1.8
50,Wisconsin,1993,7.7,9.0,16.6,120,3.8,5.0
51,Wyoming,1993,0.8,1.1,1.9,13.8,2.2,0.5
