,State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
0,Alabama,2001,5.6,12.1,17.7,122.4,-0.1,4.5
1,Alaska,2001,4.5,3.2,7.7,28.4,3.7,0.6
2,Arizona,2001,3.7,21.4,25.1,171.5,2.3,5.3
3,Arkansas,2001,2.8,5.4,8.3,70.6,-0.3,2.7
4,California,2001,62.3,129.6,191.9,"1,384.10",-0.4,34.5
5,Colorado,2001,4.9,20.0,25,187.6,1.6,4.4
6,Connecticut,2001,19.0,6.0,25,173.1,1.8,3.4
7,Delaware,2001,3.9,1.4,5.3,46.4,4.9,0.8
8,District of Columbia,2001,0.0,5.2,5.2,65.6,3.8,0.6
9,Florida,2001,18.6,65.2,83.8,516.7,2.5,16.4
10,Georgia,2001,7.5,24.5,32,318.8,0.9,8.4
11,Hawaii,2001,5.3,2.6,7.9,42.9,-0.7,1.2
12,Idaho,2001,2.3,1.3,3.6,37.4,-2.7,1.3
13,Illinois,2001,30.2,42.5,72.7,502.3,0.4,12.5
14,Indiana,2001,8.5,13.3,21.8,204.6,-1.9,6.1
15,Iowa,2001,2.5,5.4,7.9,94.8,-1.2,2.9
16,Kansas,2001,2.2,9.3,11.5,88.4,-0.1,2.7
17,Kentucky,2001,8.3,17.8,26.2,117.4,-0.1,4.1
18,Louisiana,2001,8.0,11.0,19,137.8,1.1,4.5
19,Maine,2001,4.2,1.9,6.1,38.5,1.8,1.3
20,Maryland,2001,11.7,12.9,24.6,205.5,3.9,5.4
21,Massachusetts,2001,42.1,18.2,60.3,296.8,0.8,6.4
22,Michigan,2001,20.1,30.1,50.2,348.5,-3.3,10.0
23,Minnesota,2001,5.6,23.7,29.3,194.6,0.0,5.0
24,Mississippi,2001,3.8,5.5,9.4,67,-1.1,2.9
25,Missouri,2001,11.4,10.5,21.9,191.2,-0.7,5.6
26,Montana,2001,2.7,1.2,4,22.9,0.9,0.9
27,Nebraska,2001,1.8,5.3,7.1,59.5,2.1,1.7
28,Nevada,2001,3.4,11.2,14.6,80.4,1.2,2.1
29,New Hampshire,2001,5.6,1.7,7.3,46.6,1.3,1.3
30,New Jersey,2001,29.7,23.4,53.2,373.8,0.7,8.5
31,New Mexico,2001,4.3,4.1,8.4,56,0.1,1.8
32,New York,2001,80.4,103.1,183.5,877.1,2.2,19.1
33,North Carolina,2001,10.0,21.1,31.1,288.7,1.8,8.2
34,North Dakota,2001,1.5,1.2,2.8,18.9,1.7,0.6
35,Ohio,2001,18.7,27.7,46.4,395.6,-1.4,11.4
36,Oklahoma,2001,6.0,5.9,11.9,96.8,3.7,3.5
37,Oregon,2001,6.4,10.3,16.7,117.3,-0.8,3.5
38,Pennsylvania,2001,19.2,58.8,78,425,1.4,12.3
39,Rhode Island,2001,5.8,1.3,7.2,36,1.5,1.1
40,South Carolina,2001,9.6,12.2,21.7,119.3,0.4,4.1
41,South Dakota,2001,2.2,1.1,3.3,23.5,1.2,0.8
42,Tennessee,2001,3.4,16.3,19.7,185.8,-0.2,5.8
43,Texas,2001,16.8,89.9,106.7,773,2.4,21.3
44,All states combined,2001,576.6,974.3,"1,550.90","10,581.80",1.0,285.1
45,Utah,2001,4.0,8.5,12.5,73.2,1.5,2.3
46,Vermont,2001,2.3,0.7,3,19.3,3.0,0.6
47,Virginia,2001,13.0,20.6,33.5,284,3.6,7.2
48,Washington,2001,12.6,29.5,42.1,239.4,-2.3,6.0
49,West Virginia,2001,4.1,3.5,7.6,44,-0.1,1.8
50,Wisconsin,2001,12.2,14.8,27,187.9,1.3,5.4
51,Wyoming,2001,1.3,1.1,2.5,18.7,5.5,0.5
